(6,3)	(18,1)	null	(6,4)	null	
(6,4)	(18,0)	null	null	(6,3)	
(7,3)	(18,2)	(18,1)	(7,4)	null	
(7,4)	(18,3)	(18,0)	(7,5)	(7,3)	
(7,5)	(18,4)	null	null	(7,4)	
(8,3)	null	(18,2)	null	null	
(8,4)	(8,3)	(18,3)	null	null	N
(8,5)	(8,4)	(18,4)	(17,6)	null	N
(8,6)	(8,5)	(8,7)	null	null	N
(8,7)	(8,6)	(17,7)	null	null	S
(9,7)	(10,6)	null	(10,7)	(16,9)	E
(9,8)	(10,8)	(16,8)	null	(9,7)	E
(9,9)	(9,8)	(10,9)	null	null	N
(9,10)	(15,7)	(15,8)	null	null	
(10,6)	(11,7)	(9,7)	null	(16,9)	
(10,7)	(11,8)	null	(10,8)	(9,7)	N
(10,8)	(11,8)	(9,8)	(10,9)	(10,7)	
(10,9)	(9,9)	null	null	(10,8)	
(10,10)	(13,13)	(15,9)	(13,14)	(13,1)	E
(10,11)	null	(13,10)	null	(15,14)	S
(10,12)	(11,12)	(15,3)	null	(15,2)	N
(10,13)	(13,4)	(13,5)	null	(13,3)	
(10,14)	(18,5)	null	(12,11)	(13,4)	E
(11,3)	(15,16)	null	(12,4)	null	
(11,4)	(11,6)	(16,9)	(16,8)	(15,15)	
(11,5)	(12,6)	null	(11,6)	(12,4)	N
(11,6)	(12,7)	(11,4)	(11,7)	(11,5)	N
(11,7)	(12,7)	(10,6)	(11,8)	(11,6)	
(11,8)	(12,8)	(10,8)	null	(11,7)	
(11,12)	null	(15,2)	null	(18,13)	E
(11,13)	null	(15,4)	null	null	
(11,14)	(15,4)	(15,5)	(18,12)	(14,5)	N
(12,3)	(13,14)	(13,3)	(15,16)	(13,2)	
(12,4)	(12,6)	(15,15)	(11,5)	(11,3)	
(12,5)	(13,5)	(15,17)	(12,6)	(15,16)	
(12,6)	(15,17)	(12,4)	(12,7)	(12,5)	
(12,7)	(15,21)	(11,7)	null	(12,6)	
(12,8)	(18,7)	(11,8)	(12,9)	(15,21)	
(12,9)	(15,19)	null	(15,20)	(12,8)	
(12,10)	(15,20)	null	null	(12,9)	E
(12,11)	(19,1)	(13,6)	null	(10,14)	
(12,13)	(12,11)	null	(13,7)	null	N
(12,14)	(14,12)	(19,1)	null	(15,12)	
(13,1)	(14,2)	null	(15,9)	(15,8)	N
(13,2)	(15,9)	null	(12,3)	(13,1)	E
(13,3)	(12,3)	(15,16)	(10,13)	null	
(13,4)	(18,8)	(10,13)	(18,5)	(15,10)	E
(13,5)	(10,13)	(12,5)	(13,6)	null	
(13,6)	(12,11)	null	(18,6)	(13,5)	
(13,7)	(15,13)	(18,6)	(13,8)	(12,13)	N
(13,8)	(15,13)	(18,7)	(15,18)	(13,7)	
(13,9)	(13,8)	(15,19)	(13,10)	null	N
(13,10)	(15,18)	(15,20)	null	(13,9)	
(13,11)	(14,8)	(15,11)	(19,3)	(13,12)	E
(13,12)	(14,2)	(14,3)	(15,11)	(13,13)	NE
(13,13)	(14,2)	(10,10)	(14,3)	(13,1)	E
(13,14)	(14,3)	(12,3)	(15,10)	(10,10)	
(14,0)	(15,6)	null	(14,1)	(15,7)	NE
(14,1)	(15,6)	null	(14,2)	(14,0)	
(14,2)	(14,7)	(13,13)	null	(14,1)	
(14,3)	(13,12)	(13,14)	null	(13,13)	
(14,4)	(15,11)	(18,8)	null	(15,10)	N
(14,5)	(15,4)	(15,6)	(11,14)	(15,7)	E
(14,6)	(14,5)	(14,7)	(15,5)	null	N
(14,7)	(14,6)	(14,2)	(14,8)	null	
(14,8)	(18,11)	(13,11)	(14,9)	(14,7)	
(14,9)	(19,5)	(19,3)	null	(14,8)	
(14,10)	(15,3)	null	(14,11)	(18,10)	N
(14,11)	(15,3)	(15,12)	(14,12)	(14,10)	
(14,12)	(10,12)	(12,14)	null	(14,11)	N
(15,1)	(11,13)	(18,12)	null	(15,4)	N
(15,2)	(11,12)	(19,4)	(10,12)	(18,13)	
(15,3)	(10,12)	(14,11)	null	(19,4)	
(15,4)	(11,13)	(14,5)	(15,1)	null	
(15,5)	(11,14)	(18,11)	null	(14,6)	
(15,6)	(14,5)	(14,1)	null	(15,7)	
(15,7)	null	(9,10)	(15,6)	null	
(15,8)	(9,10)	null	(13,1)	null	
(15,9)	(10,10)	(13,2)	null	(13,1)	
(15,10)	(15,11)	null	(14,4)	(13,14)	
(15,11)	(13,11)	(15,10)	(19,2)	(13,12)	
(15,12)	(14,11)	(18,5)	(12,14)	(18,8)	
(15,13)	(15,14)	(13,8)	null	(19,1)	
(15,14)	(12,14)	(15,13)	(10,11)	null	N
(15,15)	(12,4)	null	(11,4)	null	
(15,16)	(13,3)	(11,3)	(12,5)	(12,3)	
(15,17)	(12,5)	(12,6)	(15,21)	null	
(15,18)	(13,9)	(13,10)	null	(13,8)	N
(15,19)	(13,9)	(12,9)	null	(18,7)	
(15,20)	(13,10)	(12,10)	null	(12,9)	
(15,21)	(18,6)	(12,7)	(12,8)	(15,17)	
(16,6)	(16,8)	(17,6)	null	null	
(16,7)	(16,6)	null	null	null	N
(16,8)	(9,8)	(16,6)	null	(11,4)	
(16,9)	(11,4)	null	(10,6)	null	
(17,6)	(16,6)	(17,7)	null	(8,5)	
(17,7)	(17,6)	null	null	null	
(18,0)	(7,4)	(6,4)	null	(18,1)	
(18,1)	(7,3)	(6,3)	(18,0)	null	
(18,2)	(8,3)	(7,3)	(18,3)	null	
(18,3)	(8,4)	(7,4)	(18,4)	(18,2)	
(18,4)	(8,5)	(7,5)	null	(18,3)	
(18,5)	(15,12)	(10,14)	(19,1)	(13,4)	
(18,6)	(13,7)	(15,21)	(18,7)	(13,6)	
(18,7)	(13,8)	(12,8)	(15,19)	(18,6)	
(18,8)	(14,4)	(13,4)	(15,12)	null	
(18,9)	(18,10)	null	null	(19,2)	
(18,10)	(14,9)	(18,9)	(14,10)	(19,3)	N
(18,11)	(15,5)	(14,8)	(19,5)	null	
(18,12)	(15,1)	(18,13)	null	(11,14)	
(18,13)	(18,12)	null	(15,2)	null	
(19,1)	(12,14)	(12,11)	(15,13)	(18,5)	
(19,2)	(13,11)	null	(18,9)	(15,11)	N
(19,3)	(14,9)	null	(18,10)	(13,11)	
(19,4)	(15,2)	(19,5)	(15,3)	(18,11)	E
(19,5)	(19,4)	(14,9)	null	(18,11)	
